;;;[m];[m]
station_id;lat;lon;avg;std
0101/071-4 - LUBW;5305371;402439;1.2600061035156216;0.83
0118/020-6 - LUBW;5311941;399181;9.15999267578124;0.53
0159/070-6 - LUBW;5307069;403662;6.920006103515618;0.56
0130/070-4 - LUBW;5309056;400668;8.65000183105468;0.74
0011/070-8 - LUBW;5314359;400797;6.799993286132803;0.41
0247/020-6 - LUBW;5313214;397866;3.8600006103515625;0.27
0106/020-1 - LUBW;5315182;397828;3.0399945068359386;0.29
PH 007 - Badenova;5314403;398831;6.670006103515618;0.3
0160/070-0 - LUBW;5306537;405428;6.5800036621093625;0.9
0118/070-0 - LUBW;5310255;404821;12.059999389648425;1.15
0100/071-0 - LUBW;5305133;400664;6.729996948242189;1.5
2279/070-0 - Stadt Freiburg;5315620;409120;4.030006103515632;0.68
2176/069-8 - Stadt Freiburg;5319920;411040;2.820005493164075;0.13
2170/069-5 - Stadt Freiburg;5318720;410540;2.3599981689453102;0.51
2142/070-6 - Stadt Freiburg;5315000;409940;5.2700061035156125;0.75
2250/069-0 - Stadt Freiburg;5318400;411640;5.8000048828124875;0.52
0107/120-0 - Stadt Freiburg;5315360;418400;6.970004882812475;1.38
2215/069-1 - Stadt Freiburg;5322160;410120;0.7299987792968636;0.12
2215/119-8 - Stadt Freiburg;5321320;414020;2.859992675781257;1.03
2070/069-8 - Stadt Freiburg;5317540;405040;1.3900054931640682;0.16
2192/070-8 - Stadt Freiburg;5315460;410680;6.959996948242178;0.73
2117/120-0 - Stadt Freiburg;5315640;415160;5.5000085449218545;0.16
2219/119-0 - Stadt Freiburg;5320000;412980;4.2199963378906205;0.83
2297/069-3 - Stadt Freiburg;5320560;410840;0.21000244140626023;0.05
2047/120-2 - Stadt Freiburg;5315160;414480;5.639985351562473;0.42
0926/120-3 - Stadt Freiburg;5315500;417280;7.109991455078102;0.42
0324/069-3 - Stadt Freiburg;5318220;407760;1.2700018310546852;0.14
0347/069-2 - Stadt Freiburg;5317360;408560;1.6000036621093727;0.17
2117/119-1 - Stadt Freiburg;5317040;413160;11.219999999999999;0.35
0106/120-5 - Stadt Freiburg;5315180;418840;9.849991455078111;1.9
0016/120-1 - Stadt Freiburg;5316680;413500;11.730001220703116;0.2
0121/020-0 - LUBW;5310449;398205;11.230000610351567;0.45
2037/020-1 - LUBW;5312263;396635;-0.02999572753907387;0.31
PE 20 - Badenova;5314457;419674;8.809987792968741;1.52
PE 33 - Badenova;5313859;420807;7.969998779296873;1.41
PE 06 - Badenova;5314782;420570;15.500009765625009;1.47
0113/070-7 - LUBW;5313033;404284;4.609993896484383;1.15
0113/071-9 - LUBW;5304518;403954;1.9200012207031136;0.54
PE 39 - Badenova;5315389;420740;15.590009765624984;2.14
